,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
167,Conceicao Do Araguaia,-8.2578,-49.2647,75.31,53,1,3.78,BR,2022-06-15 23:07:36,clear sky
168,Santa Luzia,-19.7697,-43.8514,59.9,73,91,4.72,BR,2022-06-15 23:07:37,overcast clouds
169,Hithadhoo,-0.6,73.0833,82.2,72,67,5.46,MV,2022-06-15 23:07:37,broken clouds
170,La Spezia,44.1105,9.8434,73.98,69,41,5.01,IT,2022-06-15 23:07:37,scattered clouds
171,Yoichi,43.2039,140.7703,57.99,97,100,2.57,JP,2022-06-15 23:07:38,light rain
172,Khammam,17.25,80.15,85.21,62,100,3.38,IN,2022-06-15 23:07:38,moderate rain
173,Jackson,42.4165,-122.8345,83.16,26,0,14.97,US,2022-06-15 23:07:38,clear sky
174,Bahar,34.9072,48.4414,58.82,31,0,3.69,IR,2022-06-15 23:07:39,clear sky
175,Lyngseidet,69.5763,20.2189,48.2,82,92,4.63,NO,2022-06-15 23:07:39,overcast clouds
176,Guerrero Negro,27.9769,-114.0611,72.48,52,0,17.81,MX,2022-06-15 23:07:39,clear sky
177,Avarua,-21.2078,-159.775,82.45,69,20,14.97,CK,2022-06-15 23:02:45,few clouds
178,Rognan,67.0953,15.3878,48.76,84,54,1.1,NO,2022-06-15 23:07:40,broken clouds
179,Chokurdakh,70.6333,147.9167,66.11,29,88,6.51,RU,2022-06-15 23:07:40,overcast clouds
180,Biu,10.6129,12.1946,75.99,64,8,4.36,NG,2022-06-15 23:07:40,clear sky
181,Nome,64.5011,-165.4064,46.17,81,100,11.5,US,2022-06-15 23:04:30,overcast clouds
182,Kijang,35.2442,129.2139,70.65,76,1,8.57,KR,2022-06-15 23:07:41,clear sky
183,Butaritari,3.0707,172.7902,81.91,68,69,12.26,KI,2022-06-15 23:07:41,broken clouds
184,Dikson,73.5069,80.5464,36.0,83,33,6.87,RU,2022-06-15 23:07:41,scattered clouds
185,Huarmey,-10.0681,-78.1522,64.42,76,3,12.59,PE,2022-06-15 23:07:42,clear sky
186,Kodiak,57.79,-152.4072,56.71,82,40,10.36,US,2022-06-15 23:08:42,scattered clouds
187,Ardesen,41.1911,40.9875,69.44,62,6,8.19,TR,2022-06-15 23:08:42,clear sky
188,Mansehra,34.3333,73.2,69.66,56,57,6.93,PK,2022-06-15 23:08:44,broken clouds
189,Tautira,-17.7333,-149.15,78.85,79,31,19.01,PF,2022-06-15 23:08:44,light rain
190,Broome,42.2506,-75.833,83.7,48,0,5.75,US,2022-06-15 23:08:45,clear sky
191,Bhunya,-26.55,31.0167,40.21,55,0,3.96,SZ,2022-06-15 23:08:45,clear sky
192,Namibe,-15.1961,12.1522,63.91,82,10,1.79,AO,2022-06-15 23:08:10,clear sky
193,Fairbanks,64.8378,-147.7164,72.01,51,75,9.22,US,2022-06-15 23:08:11,smoke
194,Sao Miguel Do Araguaia,-13.275,-50.1628,78.37,48,60,2.57,BR,2022-06-15 23:04:38,broken clouds
195,Bonthe,7.5264,-12.505,77.29,87,100,9.19,SL,2022-06-15 23:08:46,overcast clouds
196,Viedma,-40.8135,-62.9967,46.47,88,79,4.56,AR,2022-06-15 23:07:00,broken clouds
